,FACILITY_NAME,FAC_FDR,DISTRICT_OFFICE,PENALTY_ISSUE_DATE,PENALTY_NUMBER,DISPOSITION,PENALTY_DETAIL,PENALTY_CATEGORY,APPEALED,CLASS_ASSESSED_INITIAL,CLASS_ASSESSED_FINAL,TOTAL_AMOUNT_INITIAL,TOTAL_AMOUNT_DUE_FINAL
11615,ONTARIO HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2010-10-08,240007616,Closed,Citation B (HSC 1424),Patient Care,No,B,,500.0,500.0
11616,RECHE CANYON REGIONAL REHAB CENTER,SKILLED NURSING FACILITY,San Bernardino,2010-10-14,240007623,Closed,Citation B (HSC 1424),Patient Rights,Yes,B,B	,1000.0,650.0
11617,CITRUS NURSING CENTER,SKILLED NURSING FACILITY,San Bernardino,2010-10-12,240007625,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,650.0
11618,SEVENTEENTH STREET HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2010-10-15,240007642,Open,Citation AA (HSC 1424),Patient Care,Yes,AA,AA,25000.0,25000.0
11619,TERRACINA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2010-10-20,240007650,Closed,Citation B (HSC 1424),Staffing,No,B,,500.0,500.0
11620,COMMUNITY EXTENDED CARE HOSPITAL OF MONTCLAIR,SKILLED NURSING FACILITY,San Bernardino,2010-10-22,240007659,Closed,Citation B (HSC 1424),Other,Yes,B,,1000.0,1000.0
11621,MILL CREEK MANOR,SKILLED NURSING FACILITY,San Bernardino,2011-02-24,240007671,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11622,BISHOP CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-02-02,240007891,Closed,Citation A (HSC 1424),Patient Care,No,A,,8000.0,8000.0
11623,BISHOP CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-02-02,240007893,Closed,Citation A (HSC 1424),Patient Care,Yes,A,,10000.0,10000.0
11624,SPRING VALLEY POST ACUTE LLC,SKILLED NURSING FACILITY,San Bernardino,2011-02-09,240007921,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,20000.0
11625,BISHOP CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-02-25,240007938,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11626,BISHOP CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-02-25,240007939,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11627,TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2011-07-19,240007967,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,10000.0
11628,MEDICAL CENTER CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2011-03-08,240007975,Closed,Citation B (HSC 1424),Financial Occurrence/Fac Not Self Reported,Yes,B,B	,1000.0,650.0
11629,HIGHLAND PALMS HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-03-07,240007976,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11630,JASPER DIVISION,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-03-02,240007977,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11631,CASA #2,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-03-02,240007978,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11632,CALIMESA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-03-09,240008020,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11633,MEADOWS RIDGE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-03-10,240008024,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11634,APPLE VALLEY POST ACUTE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-04-13,240008131,Closed,Citation A (HSC 1424),Patient Care,No,A,,2000.0,2000.0
11635,TERRACINA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-04-14,240008133,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11636,RIALTO POST ACUTE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-04-15,240008134,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11637,TERRACINA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-04-14,240008142,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11638,VILLA MESA CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-04-15,240008154,Closed,Citation B (HSC 1424),Patient Rights,Yes,B,B	,1000.0,500.0
11639,MEADOWS RIDGE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-04-19,240008168,Closed,Citation A (HSC 1424),Patient Care,No,A,,10000.0,10000.0
11640,WALKER HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-04-26,240008182,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,650.0
11641,COMMUNITY HOSPITAL OF SAN BERNARDINO D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2011-05-06,240008216,Closed,Citation AA (HSC 1424),Patient Care,No,AA,,80000.0,80000.0
11642,RECHE CANYON REGIONAL REHAB CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-05-06,240008220,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11643,COMMUNITY EXTENDED CARE HOSPITAL OF MONTCLAIR,SKILLED NURSING FACILITY,San Bernardino,2011-05-11,240008228,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,9000.0,9000.0
11644,BISHOP CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-05-19,240008257,Closed,Citation B (HSC 1424),Patient Care,Yes,B,,1000.0,1000.0
11645,SOUTHERN INYO HOSPITAL D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2011-05-20,240008258,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11646,VAN BUREN HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-06-08,240008295,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,500.0
11647,HIGHLAND PALMS HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-06-21,240008319,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11648,COMMUNITY HOSPITAL OF SAN BERNARDINO D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2011-06-21,240008320,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
11649,HI-DESERT MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2011-06-23,240008324,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11650,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-06-27,240008335,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11651,CEDAR MOUNTAIN POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-07-11,240008367,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11652,HERMOSA HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-07-13,240008368,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,Yes,B,B	,1000.0,500.0
11653,SIERRA VISTA,SKILLED NURSING FACILITY,San Bernardino,2011-07-19,240008390,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11654,CEDAR MOUNTAIN POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-07-21,240008395,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,10000.0,6500.0
11655,COMMUNITY HOSPITAL OF SAN BERNARDINO D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2011-08-12,240008459,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11656,CEDAR MOUNTAIN POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-08-16,240008469,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11657,CREEKSIDE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-08-22,240008470,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11658,CREEKSIDE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-08-22,240008471,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11659,APPLE VALLEY POST ACUTE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-09-08,240008472,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11660,SPRING VALLEY POST ACUTE LLC,SKILLED NURSING FACILITY,San Bernardino,2011-09-08,240008474,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,1000.0
11661,RECHE CANYON REGIONAL REHAB CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-08-31,240008513,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,650.0
11662,GRAND TERRACE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-08-30,240008514,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11663,DEL ROSA VILLA,SKILLED NURSING FACILITY,San Bernardino,2011-09-01,240008523,Closed,Citation B (HSC 1424),Patient Care,Yes,B,,1000.0,1000.0
11664,INLAND CHRISTIAN HOME,SKILLED NURSING FACILITY,San Bernardino,2011-09-07,240008541,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11665,PALOMAR HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-09-12,240008545,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,Yes,B,B	,1000.0,500.0
11666,MEADOWS RIDGE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-09-12,240008546,Closed,Citation A (HSC 1424),Patient Care,No,A,,15000.0,15000.0
11667,CALIMESA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-09-12,240008551,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
11668,MEADOWS RIDGE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-09-13,240008558,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11669,REDLANDS HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-09-16,240008566,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11670,VALLEY HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-09-16,240008568,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,3000.0
11671,MEADOWS RIDGE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-09-29,240008591,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11672,COUNTRY VILLA HACIENDA HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-10-05,240008608,Closed,Citation B (HSC 1424),Patient Care,Yes,B,,1000.0,1000.0
11673,APPLE VALLEY POST ACUTE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-10-14,240008631,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11674,COUNTRY VILLA HACIENDA HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2011-10-31,240008680,Closed,Citation A (HSC 1424),Patient Care,Yes,A,B	,20000.0,15000.0
11675,LARAMIE HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-11-03,240008697,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11676,RIMROCK VILLA CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2011-11-03,240008699,Closed,Citation B (HSC 1424),Medication,Yes,B,B	,1000.0,1000.0
11677,WALKER HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-11-10,240008729,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,650.0
11678,BEAR VALLEY COMMUNITY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2011-12-09,240008796,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11679,CIRCLEBROOK,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2011-12-12,240008800,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11680,CEDAR MOUNTAIN POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2011-12-22,240008840,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11681,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-01-04,240008877,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
11682,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-01-12,240008902,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11683,CALIMESA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2012-01-12,240008903,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11684,RENEE HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-01-17,240008913,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11685,HI-DESERT MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2012-01-17,240008914,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11686,CEDAR MOUNTAIN POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2012-01-17,240008915,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,15250.0
11687,ASISTENCIA VILLA REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-01-18,240008918,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11688,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-01-18,240008919,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11689,VALLEY HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-01-18,240008920,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11690,APPLE VALLEY POST ACUTE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-02-15,240009002,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11691,TERRACINA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2012-02-21,240009030,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11692,ROSEWOOD HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-02-22,240009031,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,500.0
11693,CASA #4,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-02-22,240009033,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11694,COUNTRY VILLA HACIENDA HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-02-23,240009036,Closed,Citation B (HSC 1424),Patient Rights,Yes,B,,1000.0,1000.0
11695,LAS COLINAS POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2012-02-27,240009037,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,650.0
11696,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-03-09,240009054,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11697,VALLEY HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-03-05,240009055,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11698,HI-DESERT MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2012-03-12,240009101,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11699,SIERRA VISTA,SKILLED NURSING FACILITY,San Bernardino,2012-03-23,240009177,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11700,DESERT MANOR,SKILLED NURSING FACILITY,San Bernardino,2012-04-12,240009227,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11701,SPRING VALLEY POST ACUTE LLC,SKILLED NURSING FACILITY,San Bernardino,2012-04-19,240009228,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,1000.0
11702,APPLE VALLEY POST ACUTE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-05-04,240009279,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11703,PALMYRA HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-05-08,240009282,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1000.0,500.0
11704,CLOCK HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-05-09,240009284,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11705,COLE HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-05-11,240009286,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11706,HIGHLAND PALMS HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-05-15,240009306,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11707,WATERMAN CANYON POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2012-05-23,240009308,Closed,Citation B (HSC 1424),Patient Rights,Yes,B,Drop>Deficiency	,1000.0,700.0
11708,LEGACY POST-ACUTE REHABILITATION CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-05-18,240009312,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,12000.0
11709,TERRACE VIEW HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-05-21,240009319,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11710,HILLCREST NURSING HOME,SKILLED NURSING FACILITY,San Bernardino,2012-07-05,240009385,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11711,RIMROCK VILLA CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2012-07-05,240009386,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11712,ITUMA,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-07-27,240009411,Closed,Citation B (HSC 1424),Patient Rights,Yes,B,,1000.0,1000.0
11713,CREEKSIDE CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-09-20,240009505,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11714,LADENEY HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2012-10-16,240009549,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11715,COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,SKILLED NURSING FACILITY,San Bernardino,2012-10-18,240009556,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
11716,HERITAGE PARK NURSING CENTER,SKILLED NURSING FACILITY,San Bernardino,2012-10-18,240009558,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
11717,WATERMAN CANYON POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2012-10-25,240009563,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,2000.0,1000.0
11718,SIERRA VISTA,SKILLED NURSING FACILITY,San Bernardino,2012-10-24,240009569,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11719,TERRACINA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2012-11-28,240009615,Closed,Citation B (HSC 1424),Patient Care,Yes,B,,1000.0,1050.0
11720,RIALTO POST ACUTE CENTER,SKILLED NURSING FACILITY,San Bernardino,2013-05-15,240009891,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
11721,SHANDIN HILLS BEHAVIOR THERAPY CENTER,SKILLED NURSING FACILITY,San Bernardino,2014-02-05,240010442,Closed,Citation A (HSC 1424),Patient Care,No,A,,18000.0,18000.0
11722,YORK HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2014-03-07,240010521,Closed,Citation AA (HSC 1424),Patient Care,Yes,AA,A,15000.0,12500.0
11723,LANCASTER HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2014-03-07,240010526,Closed,Citation A (HSC 1424),Patient Care,No,A,,8000.0,8000.0
11724,TERRACINA POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2014-03-25,240010561,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1500.0,1500.0
11725,BETHESDA LUTHERAN COMMUNITIES - BOCHEE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2014-04-24,240010602,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
11726,PLYMOUTH VILLAGE,SKILLED NURSING FACILITY,San Bernardino,2014-07-09,240010850,Closed,Citation A (HSC 1424),Patient Care,No,A,,15000.0,15000.0
11727,MILL CREEK MANOR,SKILLED NURSING FACILITY,San Bernardino,2014-08-04,240010904,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,1500.0,1500.0
11728,HI-DESERT MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2015-01-09,240011213,Closed,Citation B (HSC 1424),Patient Care,No,B,,1500.0,1500.0
11729,SIERRA VISTA,SKILLED NURSING FACILITY,San Bernardino,2015-08-13,240011653,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11730,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2015-08-21,240011656,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
11731,SHANDIN HILLS BEHAVIOR THERAPY CENTER,SKILLED NURSING FACILITY,San Bernardino,2015-11-24,240011786,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11732,HEALTHCARE CENTER OF BELLA VISTA,SKILLED NURSING FACILITY,San Bernardino,2016-01-22,240011979,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
11733,PLYMOUTH VILLAGE,SKILLED NURSING FACILITY,San Bernardino,2016-02-24,240012034,Closed,Citation B (HSC 1424),Patient Rights,No,B,,2000.0,2000.0
11734,VALLEY HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-04-01,240012156,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1400.0,1400.0
11735,SKY HARBOR CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-04-01,240012158,Closed,Citation B (HSC 1424),Patient Rights,Yes,B,B	,1100.0,770.0
11736,GLENDA SHAKLEE HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2016-04-06,240012165,Closed,Citation B (HSC 1424),Patient Care,No,B,,1600.0,1600.0
11737,HI-DESERT MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,San Bernardino,2016-04-06,240012166,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1500.0,1500.0
11738,SYCAMORE HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2016-04-07,240012170,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,Yes,B,B	,1500.0,1000.0
11739,VALLEY HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-04-14,240012184,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1600.0,1600.0
11740,MEDICAL CENTER CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2016-04-20,240012199,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1400.0,1400.0
11741,KNOLLS WEST POST ACUTE LLC,SKILLED NURSING FACILITY,San Bernardino,2016-04-20,240012201,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
11742,SKY HARBOR CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-05-02,240012221,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1800.0,1800.0
11743,LAS COLINAS POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2016-05-18,240012268,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
11744,RAINBOW HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2016-05-23,240012273,Closed,Citation B (HSC 1424),Patient Care,No,B,,1500.0,1500.0
11745,KNOLLS WEST POST ACUTE LLC,SKILLED NURSING FACILITY,San Bernardino,2016-05-26,240012285,Closed,Citation B (HSC 1424),Medication,No,B,,2000.0,2000.0
11746,DESERT MANOR,SKILLED NURSING FACILITY,San Bernardino,2016-06-15,240012330,Closed,Citation A (HSC 1424),Patient Care,No,A,,17000.0,17000.0
11747,VALLEY HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-07-19,240012399,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
11748,LILLIAN HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,San Bernardino,2016-06-30,240012416,Closed,Citation B (HSC 1424),Patient Care,No,B,,1500.0,1500.0
11749,UPLAND REHABILITATION AND CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-08-01,240012418,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,10000.0,10000.0
11750,REDLANDS HEALTHCARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-07-22,240012429,Closed,Citation A (HSC 1424),Patient Care,No,A,,10000.0,10000.0
11751,LAS COLINAS POST ACUTE,SKILLED NURSING FACILITY,San Bernardino,2016-08-15,240012509,Closed,Citation B (HSC 1424),Patient Care,No,B,,1500.0,1500.0
11752,SKY HARBOR CARE CENTER,SKILLED NURSING FACILITY,San Bernardino,2016-08-16,240012512,Closed,Citation AA (HSC 1424),Patient Care,No,AA,,75000.0,75000.0
11753,MEDICAL CENTER CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2016-08-18,240012516,Closed,Citation A (HSC 1424),Patient Rights,No,A,,10000.0,10000.0
11754,MEDICAL CENTER CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2016-09-01,240012552,Closed,Citation A (HSC 1424),Patient Care,No,A,,10000.0,10000.0
11755,MEDICAL CENTER CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2016-09-01,240012554,Closed,Citation A (HSC 1424),Patient Care,No,A,,10000.0,10000.0
11756,RIMROCK VILLA CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2016-09-01,240012556,Closed,Citation A (HSC 1424),Medication,No,A,,15000.0,15000.0
11757,MEDICAL CENTER CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,San Bernardino,2016-09-06,240012559,Closed,Citation B (HSC 1424),Physical Environment,No,B,,1500.0,1500.0
